name,owner,stars,created_at,updated_at,age_days,days_since_update,merged_pull_requests,total_releases,primary_language,total_issues,closed_issues,closed_issues_ratio
awesome-php,ziadoz,31832,2013-11-26T03:14:19Z,2025-08-24T17:36:54Z,4289,0,453,0,Unknown,153,152,99.35
v2ray-core,v2fly,31812,2019-04-15T10:05:54Z,2025-08-24T20:00:10Z,2323,0,909,111,Go,1041,1002,96.25
vnpy,vnpy,31801,2015-03-02T03:36:58Z,2025-08-24T20:05:05Z,3828,0,1055,64,Python,2128,2110,99.15
mpv,mpv-player,31795,2012-10-13T08:08:44Z,2025-08-24T21:17:29Z,4698,0,3505,87,C,10549,9645,91.43
android-open-project,Trinea,31792,2014-01-05T15:20:15Z,2025-08-24T09:59:58Z,4249,0,204,0,Unknown,86,75,87.21
WxJava,binarywang,31789,2016-01-06T08:24:05Z,2025-08-24T16:17:59Z,3518,0,1053,30,Java,2371,2307,97.3
shardeum,shardeum,31768,2024-04-16T22:37:25Z,2025-08-24T08:58:56Z,494,0,325,0,TypeScript,38,33,86.84
fairseq,facebookresearch,31743,2017-08-29T16:26:12Z,2025-08-24T19:24:10Z,2917,0,234,16,Python,4247,3056,71.96
go-zero,zeromicro,31671,2020-08-07T15:37:57Z,2025-08-24T18:22:26Z,1843,0,2321,140,Go,1868,1643,87.96
graphql-engine,hasura,31668,2018-06-18T07:57:36Z,2025-08-23T09:38:57Z,2624,1,2110,294,TypeScript,6380,4145,64.97
pytorch-tutorial,yunjey,31653,2017-03-10T07:41:47Z,2025-08-24T16:21:51Z,3089,0,28,0,Python,180,114,63.33
Retrieval-based-Voice-Conversion-WebUI,RVC-Project,31644,2023-03-27T09:59:10Z,2025-08-24T18:47:11Z,881,0,475,7,Python,1922,1299,67.59
Hello-Python,mouredev,31630,2022-08-03T17:14:53Z,2025-08-24T18:54:19Z,1117,0,0,0,Python,293,275,93.86
floating-ui,floating-ui,31602,2016-03-29T17:00:47Z,2025-08-24T15:56:24Z,3435,0,1190,497,TypeScript,1456,1429,98.15
mmdetection,open-mmlab,31600,2018-08-22T07:06:06Z,2025-08-24T20:26:11Z,2559,0,2359,53,Python,8497,6746,79.39
YesPlayMusic,qier222,31548,2020-10-09T10:04:21Z,2025-08-24T15:38:08Z,1780,0,288,31,Vue,1799,1191,66.2
remix,remix-run,31539,2020-10-26T19:57:28Z,2025-08-23T20:28:06Z,1763,1,3441,175,TypeScript,2606,2602,99.85
html2canvas,niklasvh,31494,2011-07-16T01:05:58Z,2025-08-24T14:07:41Z,5153,0,186,45,TypeScript,2621,1660,63.33
awesome-cto,kuchin,31485,2016-12-16T19:22:18Z,2025-08-24T10:45:02Z,3173,0,18,0,Unknown,11,11,100.0
echo,labstack,31444,2015-03-01T17:43:01Z,2025-08-24T17:20:27Z,3829,0,592,109,Go,1465,1392,95.02
vimrc,amix,31444,2012-05-29T16:19:29Z,2025-08-24T20:07:32Z,4835,0,107,0,Vim Script,522,510,97.7
rxjs,ReactiveX,31431,2015-03-15T06:17:10Z,2025-08-24T10:58:20Z,3815,0,2588,2,TypeScript,3160,2940,93.04
CasaOS,IceWhaleTech,31384,2021-09-26T02:33:09Z,2025-08-24T20:54:21Z,1428,0,274,97,Go,1557,880,56.52
lottie-web,airbnb,31366,2015-02-20T21:02:59Z,2025-08-24T20:51:44Z,3838,0,136,0,JavaScript,2894,2125,73.43
MS-DOS,microsoft,31355,2018-06-25T18:26:02Z,2025-08-24T09:45:10Z,2617,0,37,0,Assembly,0,0,0
servo,servo,31343,2012-02-08T19:07:25Z,2025-08-24T20:03:32Z,4946,0,20547,0,HTML,14018,11017,78.59
netron,lutzroeder,31250,2010-12-26T12:53:43Z,2025-08-24T20:59:54Z,5355,0,1,3,JavaScript,1222,1201,98.28
xyflow,xyflow,31243,2019-07-15T14:47:30Z,2025-08-24T18:18:14Z,2232,0,1402,350,TypeScript,2270,2187,96.34
