id,full_name,description,language,stargazers_count,forks_count,open_issues_count,pr_count
212639071,bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",Python,78377,17648,40,119
44882201,MunGell/awesome-for-beginners,A list of awesome beginners-friendly projects.,,77954,7449,44,104
343965132,microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",Jupyter Notebook,77650,17657,3,110
51117837,tensorflow/models,Models and examples built with TensorFlow,Python,77644,45471,1262,123
455229168,immich-app/immich,High performance self-hosted photo and video management solution.,TypeScript,77638,4109,548,113
221981891,microsoft/playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",TypeScript,77469,4606,523,147
619959033,nomic-ai/gpt4all,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,C++,76718,8274,738,108
968197216,google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,TypeScript,76576,8225,2297,139
14712850,syncthing/syncthing,Open Source Continuous File Synchronization,Go,76411,4774,353,116
278335273,anuraghazra/github-readme-stats,:zap: Dynamically generated stats for your github readmes,JavaScript,76152,26367,226,143
10744183,netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",C,76023,6162,239,160
257485422,vitejs/vite,Next generation frontend tooling. It's fast!,TypeScript,75462,7253,622,126
382496361,louislam/uptime-kuma,A fancy self-hosted monitoring tool,JavaScript,75345,6669,802,102
641656392,unionlabs/union,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.",Rust,74675,3829,245,136
203587744,hoppscotch/hoppscotch,"Open source API development ecosystem - https://hoppscotch.io (open-source alternative to Postman, Insomnia)",TypeScript,74662,5217,537,166
507775,elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",Java,74657,25501,5448,149
172953845,coder/code-server,VS Code in the browser,TypeScript,74004,6233,143,124
13807606,junegunn/fzf,:cherry_blossom: A command-line fuzzy finder,Go,73977,2591,300,103
695864515,hacksider/Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,Python,73332,10635,90,126
44571718,vuejs/awesome-vue,🎉 A curated list of awesome things related to Vue.js,,73278,9477,62,139
101138315,d2l-ai/d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,Python,72614,11895,114,124
156018,redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,70985,24248,2684,161
7691631,moby/moby,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,Go,70794,18820,3700,191
881458615,browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,Python,70467,8252,138,140
15111821,grafana/grafana,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",TypeScript,70067,12978,3675,109
22887094,tesseract-ocr/tesseract,Tesseract Open Source OCR Engine (main repository),C++,69872,10232,454,125
43441403,strapi/strapi,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.",TypeScript,69679,8986,1037,153
44838949,swiftlang/swift,The Swift Programming Language,C++,69065,10544,8549,133
81598961,python/cpython,The Python programming language,Python,69023,32944,9297,130
162998479,sherlock-project/sherlock,Hunt down social media accounts by username across social networks,Python,68939,8004,197,112
890668799,modelcontextprotocol/servers,Model Context Protocol Servers,TypeScript,68820,8106,241,147
596115135,base/node,Everything required to run your own Base node,Go,68487,2782,74,125
699532645,astral-sh/uv,"An extremely fast Python package and project manager, written in Rust.",Rust,68352,2046,2220,126
39464018,apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,TypeScript,68242,15725,846,172
468576060,openai/openai-cookbook,Examples and guides for using the OpenAI API,Jupyter Notebook,68066,11339,100,144
594155488,Stirling-Tools/Stirling-PDF,#1 Locally hosted web application that allows you to perform various operations on PDF files,Java,67823,5738,410,151
237159,expressjs/express,"Fast, unopinionated, minimalist web framework for node.",JavaScript,67752,20891,197,137
619859161,twitter/the-algorithm,Source code for the X Recommendation Algorithm,Scala,67132,12573,478,116
13233158,obsproject/obs-studio,OBS Studio - Free and open source software for live streaming and screen recording,C,67033,8696,987,136
29207621,caddyserver/caddy,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS,Go,66968,4495,233,138
8843683,chartjs/Chart.js,Simple HTML5 Charts using the <canvas> tag,JavaScript,66582,11966,488,140
3638964,ansible/ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on rem...",Python,66539,24100,893,101
340547520,zed-industries/zed,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",Rust,66291,5395,2864,122
163883279,nektos/act,Run your GitHub Actions locally 🚀,Go,65940,1739,257,111
643445235,lobehub/lobe-chat,"🤯 Lobe Chat - an open-source, modern design AI chat framework. Supports multiple AI providers (OpenAI / Claude 4 / Gemini / DeepSeek / Ollama / Qwen), Knowledge Base (file upload / RAG ), one click install MCP Marketplace and Artifacts / Thinking. One-click FREE deployment of your private AI Agent a...",TypeScript,65870,13654,1008,106
3482588,danielmiessler/SecLists,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",PHP,65860,24635,8,105
377496562,AppFlowy-IO/AppFlowy,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.",Dart,65662,4573,994,156
3678731,webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",JavaScript,65612,9142,213,137
134017286,jesseduffield/lazygit,simple terminal UI for git commands,Go,65151,2252,791,145
