name_with_owner,url,stargazer_count,primary_language,created_at,age,last_push,time_since_last_push,disk_usage_kb,size_formatted,name
apache/servicecomb-toolkit,https://github.com/apache/servicecomb-toolkit,437,Java,2019-06-21T06:54:48Z,"6 anos, 2 meses",2024-09-10T08:35:23Z,"1 anos, 0 meses",2257,2.2 MB,servicecomb-toolkit
eclipse-collections/eclipse-collections-kata,https://github.com/eclipse-collections/eclipse-collections-kata,436,Java,2016-01-05T18:57:57Z,"9 anos, 8 meses",2025-07-10T13:18:36Z,"2 meses, 2 dias",2833,2.8 MB,eclipse-collections-kata
jmeter-maven-plugin/jmeter-maven-plugin,https://github.com/jmeter-maven-plugin/jmeter-maven-plugin,435,Java,2010-10-08T02:24:31Z,"14 anos, 11 meses",2025-01-03T19:17:10Z,"8 meses, 10 dias",1971,1.9 MB,jmeter-maven-plugin
googleapis/google-auth-library-java,https://github.com/googleapis/google-auth-library-java,435,Java,2015-02-12T00:06:15Z,"10 anos, 7 meses",2025-09-05T03:23:29Z,5 dias,4805,4.7 MB,google-auth-library-java
ollama4j/ollama4j,https://github.com/ollama4j/ollama4j,434,Java,2023-10-26T19:12:14Z,"1 anos, 10 meses",2025-09-10T15:45:21Z,0 dias,5204,5.1 MB,ollama4j
kiegroup/optaplanner,https://github.com/kiegroup/optaplanner,434,Java,2023-09-08T14:14:13Z,"2 anos, 0 meses",2025-09-10T23:13:28Z,0 dias,245290,239.5 MB,optaplanner
microsoftgraph/msgraph-sdk-java,https://github.com/microsoftgraph/msgraph-sdk-java,434,Java,2017-09-12T17:20:15Z,"8 anos, 0 meses",2025-09-10T22:13:27Z,0 dias,165250,161.4 MB,msgraph-sdk-java
hugeterry/UpdateFun,https://github.com/hugeterry/UpdateFun,433,Java,2016-07-13T10:41:24Z,"9 anos, 2 meses",2018-05-24T13:08:23Z,"7 anos, 3 meses",365,365 KB,UpdateFun
spring-cloud/spring-cloud-bus,https://github.com/spring-cloud/spring-cloud-bus,431,Java,2014-08-22T20:17:27Z,"11 anos, 0 meses",2025-09-10T23:02:53Z,0 dias,3226,3.2 MB,spring-cloud-bus
r2dbc/r2dbc-spi,https://github.com/r2dbc/r2dbc-spi,431,Java,2018-06-11T17:34:36Z,"7 anos, 3 meses",2025-09-01T07:25:15Z,9 dias,789,789 KB,r2dbc-spi
majido/clipper,https://github.com/majido/clipper,430,Java,2012-08-24T15:00:05Z,"13 anos, 0 meses",2024-06-06T21:48:00Z,"1 anos, 3 meses",33,33 KB,clipper
818000/bus,https://github.com/818000/bus,428,Java,2024-04-19T02:00:47Z,"1 anos, 4 meses",2025-09-10T07:35:42Z,0 dias,374412,365.6 MB,bus
bastillion-io/Bastillion-EC2,https://github.com/bastillion-io/Bastillion-EC2,427,Java,2013-05-10T01:48:41Z,"12 anos, 4 meses",2024-03-19T06:43:45Z,"1 anos, 5 meses",3551,3.5 MB,Bastillion-EC2
davidmoten/geo,https://github.com/davidmoten/geo,427,Java,2013-06-19T23:52:17Z,"12 anos, 2 meses",2025-09-08T17:15:48Z,2 dias,508,508 KB,geo
minetsh/PopupMenuView,https://github.com/minetsh/PopupMenuView,426,Java,2016-11-22T08:26:07Z,"8 anos, 9 meses",2019-06-17T11:18:57Z,"6 anos, 2 meses",1364,1.3 MB,PopupMenuView
LianjiaTech/kob,https://github.com/LianjiaTech/kob,426,Java,2018-12-24T09:51:35Z,"6 anos, 8 meses",2022-06-21T00:54:11Z,"3 anos, 2 meses",1361,1.3 MB,kob
spring-guides/gs-securing-web,https://github.com/spring-guides/gs-securing-web,425,Java,2013-05-19T09:34:23Z,"12 anos, 3 meses",2025-03-01T09:21:01Z,"6 meses, 13 dias",1498,1.5 MB,gs-securing-web
