name_with_owner,url,stargazer_count,primary_language,created_at,age,last_push,time_since_last_push,disk_usage_kb,size_formatted,name
Devlight/InfiniteCycleViewPager,https://github.com/Devlight/InfiniteCycleViewPager,5724,Java,2016-08-22T08:04:39Z,"9 anos, 0 meses",2022-08-09T20:20:47Z,"3 anos, 1 meses",279,279 KB,InfiniteCycleViewPager
scribejava/scribejava,https://github.com/scribejava/scribejava,5466,Java,2010-09-05T19:11:40Z,"15 anos, 0 meses",2025-02-01T12:49:11Z,"7 meses, 11 dias",2624,2.6 MB,scribejava
apache/dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project,5405,Java,2018-01-18T12:10:50Z,"7 anos, 7 meses",2023-01-25T00:11:57Z,"2 anos, 7 meses",1557,1.5 MB,dubbo-spring-boot-project
pmd/pmd,https://github.com/pmd/pmd,5207,Java,2012-07-11T18:03:00Z,"13 anos, 2 meses",2025-09-10T03:02:58Z,0 dias,536721,524.1 MB,pmd
hneemann/Digital,https://github.com/hneemann/Digital,5093,Java,2016-06-28T17:40:16Z,"9 anos, 2 meses",2025-08-14T14:34:07Z,27 dias,39655,38.7 MB,Digital
fast-excel/fastexcel,https://github.com/fast-excel/fastexcel,5087,Java,2024-10-05T11:42:50Z,"11 meses, 10 dias",2025-09-10T11:48:03Z,0 dias,30047,29.3 MB,fastexcel
diffplug/spotless,https://github.com/diffplug/spotless,5074,Java,2015-04-27T19:10:58Z,"10 anos, 4 meses",2025-09-10T22:09:40Z,0 dias,21184,20.7 MB,spotless
alibaba/UltraViewPager,https://github.com/alibaba/UltraViewPager,4979,Java,2017-03-29T13:31:53Z,"8 anos, 5 meses",2021-07-14T04:48:51Z,"4 anos, 1 meses",8873,8.7 MB,UltraViewPager
JodaOrg/joda-time,https://github.com/JodaOrg/joda-time,4976,Java,2011-05-16T16:49:57Z,"14 anos, 4 meses",2025-08-27T23:37:39Z,13 dias,12937,12.6 MB,joda-time
Devlight/NavigationTabBar,https://github.com/Devlight/NavigationTabBar,4950,Java,2016-03-29T08:59:27Z,"9 anos, 5 meses",2024-06-09T18:55:50Z,"1 anos, 3 meses",389,389 KB,NavigationTabBar
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,4932,Java,2014-07-11T15:46:12Z,"11 anos, 2 meses",2025-09-10T13:12:47Z,0 dias,20886,20.4 MB,spring-cloud-netflix
apache/maven,https://github.com/apache/maven,4764,Java,2009-05-21T03:22:03Z,"16 anos, 3 meses",2025-09-09T08:41:23Z,1 dias,88361,86.3 MB,maven
spring-cloud/spring-cloud-gateway,https://github.com/spring-cloud/spring-cloud-gateway,4738,Java,2016-11-16T21:42:51Z,"8 anos, 10 meses",2025-09-10T19:12:49Z,0 dias,14854,14.5 MB,spring-cloud-gateway
spring-attic/spring-security-oauth,https://github.com/spring-attic/spring-security-oauth,4702,Java,2011-07-26T18:08:49Z,"14 anos, 1 meses",2022-05-30T20:10:19Z,"3 anos, 3 meses",7273,7.1 MB,spring-security-oauth
saysky/ForestBlog,https://github.com/saysky/ForestBlog,4667,Java,2017-10-08T15:27:47Z,"7 anos, 11 meses",2024-07-03T04:38:32Z,"1 anos, 2 meses",52149,50.9 MB,ForestBlog
bytedeco/javacpp,https://github.com/bytedeco/javacpp,4638,Java,2014-04-21T12:47:21Z,"11 anos, 4 meses",2025-09-02T10:33:58Z,8 dias,11494,11.2 MB,javacpp
yasserg/crawler4j,https://github.com/yasserg/crawler4j,4605,Java,2011-12-31T22:49:18Z,"13 anos, 8 meses",2021-11-04T08:31:46Z,"3 anos, 10 meses",1186,1.2 MB,crawler4j
chewiebug/GCViewer,https://github.com/chewiebug/GCViewer,4585,Java,2011-10-23T09:01:04Z,"13 anos, 10 meses",2025-02-02T15:38:37Z,"7 meses, 10 dias",6761,6.6 MB,GCViewer
Ashok-Varma/BottomNavigation,https://github.com/Ashok-Varma/BottomNavigation,4365,Java,2016-03-19T19:19:30Z,"9 anos, 5 meses",2020-12-14T10:06:25Z,"4 anos, 9 meses",3928,3.8 MB,BottomNavigation
eirslett/frontend-maven-plugin,https://github.com/eirslett/frontend-maven-plugin,4323,Java,2013-08-30T14:44:38Z,"12 anos, 0 meses",2025-01-17T12:54:44Z,"7 meses, 26 dias",2198,2.1 MB,frontend-maven-plugin
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java,4178,Java,2010-03-22T23:34:58Z,"15 anos, 5 meses",2025-09-05T22:13:20Z,5 dias,6761486,6.4 GB,aws-sdk-java
DTStack/chunjun,https://github.com/DTStack/chunjun,4081,Java,2018-04-03T12:44:58Z,"7 anos, 5 meses",2025-03-05T06:54:34Z,"6 meses, 9 dias",132442,129.3 MB,chunjun
knowm/XChange,https://github.com/knowm/XChange,3999,Java,2012-02-02T10:48:28Z,"13 anos, 7 meses",2025-09-09T14:54:57Z,1 dias,51755,50.5 MB,XChange
LibrePDF/OpenPDF,https://github.com/LibrePDF/OpenPDF,3996,Java,2016-07-11T15:50:34Z,"9 anos, 2 meses",2025-09-01T12:39:58Z,9 dias,43986,43.0 MB,OpenPDF
iterate-ch/cyberduck,https://github.com/iterate-ch/cyberduck,3909,Java,2017-01-20T14:16:34Z,"8 anos, 7 meses",2025-09-10T16:03:58Z,0 dias,644252,629.2 MB,cyberduck
RoaringBitmap/RoaringBitmap,https://github.com/RoaringBitmap/RoaringBitmap,3735,Java,2013-06-17T20:29:23Z,"12 anos, 2 meses",2025-09-09T19:26:01Z,1 dias,90651,88.5 MB,RoaringBitmap
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere,3720,Java,2010-06-30T14:26:23Z,"15 anos, 2 meses",2025-06-20T20:44:59Z,"2 meses, 22 dias",113436,110.8 MB,atmosphere
coderbruis/JavaSourceCodeLearning,https://github.com/coderbruis/JavaSourceCodeLearning,3662,Java,2020-06-02T13:34:20Z,"5 anos, 3 meses",2022-05-31T10:26:51Z,"3 anos, 3 meses",8297,8.1 MB,JavaSourceCodeLearning
FasterXML/jackson-databind,https://github.com/FasterXML/jackson-databind,3620,Java,2011-12-23T07:17:41Z,"13 anos, 8 meses",2025-09-10T03:47:30Z,0 dias,83479,81.5 MB,jackson-databind
alibaba/Alink,https://github.com/alibaba/Alink,3608,Java,2018-09-30T06:36:11Z,"6 anos, 11 meses",2024-06-07T14:56:29Z,"1 anos, 3 meses",18863,18.4 MB,Alink
spring-io/initializr,https://github.com/spring-io/initializr,3593,Java,2013-06-07T16:02:22Z,"12 anos, 3 meses",2025-09-08T07:22:18Z,2 dias,11507,11.2 MB,initializr
OpenHFT/Chronicle-Queue,https://github.com/OpenHFT/Chronicle-Queue,3571,Java,2013-06-02T15:11:33Z,"12 anos, 3 meses",2025-09-10T10:33:02Z,0 dias,29836,29.1 MB,Chronicle-Queue
luontola/retrolambda,https://github.com/luontola/retrolambda,3531,Java,2013-07-20T07:25:22Z,"12 anos, 1 meses",2023-09-26T15:12:04Z,"1 anos, 11 meses",1063,1.0 MB,retrolambda
phodal/migration,https://github.com/phodal/migration,3465,Java,2020-01-08T02:11:38Z,"5 anos, 8 meses",2021-08-12T08:05:53Z,"4 anos, 1 meses",6167,6.0 MB,migration
crossoverJie/SSM,https://github.com/crossoverJie/SSM,3441,Java,2016-06-21T10:09:02Z,"9 anos, 2 meses",2018-07-02T14:32:39Z,"7 anos, 2 meses",4404,4.3 MB,SSM
apache/incubator-kie-optaplanner,https://github.com/apache/incubator-kie-optaplanner,3412,Java,2011-02-15T19:38:23Z,"14 anos, 7 meses",2025-08-19T18:09:30Z,22 dias,244105,238.4 MB,incubator-kie-optaplanner
Tencent/spring-cloud-tencent,https://github.com/Tencent/spring-cloud-tencent,3284,Java,2021-07-29T05:12:42Z,"4 anos, 1 meses",2025-09-08T07:32:36Z,2 dias,9092,8.9 MB,spring-cloud-tencent
bastillion-io/Bastillion,https://github.com/bastillion-io/Bastillion,3264,Java,2013-02-07T23:11:49Z,"12 anos, 7 meses",2025-08-28T13:20:37Z,13 dias,4125,4.0 MB,Bastillion
apache/tika,https://github.com/apache/tika,3207,Java,2009-05-21T02:12:11Z,"16 anos, 3 meses",2025-09-10T17:42:17Z,0 dias,249690,243.8 MB,tika
bauerca/drag-sort-listview,https://github.com/bauerca/drag-sort-listview,3205,Java,2012-06-01T06:32:13Z,"13 anos, 3 meses",2019-08-02T05:11:18Z,"6 anos, 1 meses",2461,2.4 MB,drag-sort-listview
bilibili/boxing,https://github.com/bilibili/boxing,3192,Java,2017-01-22T07:04:34Z,"8 anos, 7 meses",2019-05-15T05:56:48Z,"6 anos, 4 meses",1603,1.6 MB,boxing
wildfly/wildfly,https://github.com/wildfly/wildfly,3120,Java,2010-07-08T20:46:07Z,"15 anos, 2 meses",2025-09-10T21:00:54Z,0 dias,296869,289.9 MB,wildfly
mplushnikov/lombok-intellij-plugin,https://github.com/mplushnikov/lombok-intellij-plugin,3095,Java,2013-10-09T21:49:01Z,"11 anos, 11 meses",2024-11-02T21:13:18Z,"10 meses, 12 dias",28195,27.5 MB,lombok-intellij-plugin
eclipse-paho/paho.mqtt.android,https://github.com/eclipse-paho/paho.mqtt.android,3039,Java,2016-02-19T15:44:50Z,"9 anos, 6 meses",2024-08-10T07:56:41Z,"1 anos, 1 meses",2097,2.0 MB,paho.mqtt.android
ltsopensource/light-task-scheduler,https://github.com/ltsopensource/light-task-scheduler,3020,Java,2014-10-24T12:53:14Z,"10 anos, 10 meses",2022-10-20T07:34:03Z,"2 anos, 10 meses",99960,97.6 MB,light-task-scheduler
osmdroid/osmdroid,https://github.com/osmdroid/osmdroid,3017,Java,2014-03-06T19:03:48Z,"11 anos, 6 meses",2024-11-20T06:40:38Z,"9 meses, 24 dias",111337,108.7 MB,osmdroid
ulisesbocchio/jasypt-spring-boot,https://github.com/ulisesbocchio/jasypt-spring-boot,3012,Java,2015-05-27T14:00:55Z,"10 anos, 3 meses",2025-09-06T22:39:33Z,4 dias,653,653 KB,jasypt-spring-boot
keyboardsurfer/Crouton,https://github.com/keyboardsurfer/Crouton,3000,Java,2012-08-03T11:04:36Z,"13 anos, 1 meses",2015-09-28T15:29:58Z,"9 anos, 11 meses",3934,3.8 MB,Crouton
pedrovgs/DraggablePanel,https://github.com/pedrovgs/DraggablePanel,2974,Java,2014-04-13T11:40:54Z,"11 anos, 5 meses",2017-06-12T17:16:25Z,"8 anos, 3 meses",107837,105.3 MB,DraggablePanel
jenkinsci/blueocean-plugin,https://github.com/jenkinsci/blueocean-plugin,2891,Java,2016-01-23T18:02:45Z,"9 anos, 7 meses",2025-09-08T03:01:04Z,2 dias,33290,32.5 MB,blueocean-plugin
arcadefire/nice-spinner,https://github.com/arcadefire/nice-spinner,2856,Java,2015-08-02T17:16:45Z,"10 anos, 1 meses",2024-07-28T20:08:59Z,"1 anos, 1 meses",412,412 KB,nice-spinner
apache/commons-lang,https://github.com/apache/commons-lang,2848,Java,2009-05-21T01:24:46Z,"16 anos, 3 meses",2025-09-09T23:37:30Z,0 dias,28373,27.7 MB,commons-lang
AbrahamCaiJin/CommonUtilLibrary,https://github.com/AbrahamCaiJin/CommonUtilLibrary,2846,Java,2017-04-28T06:06:58Z,"8 anos, 4 meses",2025-08-18T06:38:41Z,23 dias,824,824 KB,CommonUtilLibrary
Twitter4J/Twitter4J,https://github.com/Twitter4J/Twitter4J,2805,Java,2009-04-24T15:25:00Z,"16 anos, 4 meses",2024-08-17T18:04:54Z,"1 anos, 0 meses",12395,12.1 MB,Twitter4J
gcacace/android-signaturepad,https://github.com/gcacace/android-signaturepad,2788,Java,2014-03-20T12:54:22Z,"11 anos, 5 meses",2024-03-29T07:30:18Z,"1 anos, 5 meses",403,403 KB,android-signaturepad
bytedeco/javacpp-presets,https://github.com/bytedeco/javacpp-presets,2783,Java,2014-04-21T13:19:55Z,"11 anos, 4 meses",2025-09-09T11:14:06Z,1 dias,770477,752.4 MB,javacpp-presets
codedrinker/community,https://github.com/codedrinker/community,2775,Java,2019-04-23T15:11:24Z,"6 anos, 4 meses",2023-07-07T21:44:58Z,"2 anos, 2 meses",4671,4.6 MB,community
spotify/dockerfile-maven,https://github.com/spotify/dockerfile-maven,2755,Java,2016-03-16T12:42:37Z,"9 anos, 6 meses",2022-02-01T13:43:18Z,"3 anos, 7 meses",257,257 KB,dockerfile-maven
chanjarster/weixin-java-tools,https://github.com/chanjarster/weixin-java-tools,2751,Java,2014-08-18T08:11:26Z,"11 anos, 0 meses",2018-01-15T09:51:09Z,"7 anos, 8 meses",1727,1.7 MB,weixin-java-tools
Tencent/MSEC,https://github.com/Tencent/MSEC,2747,Java,2016-11-28T01:50:35Z,"8 anos, 9 meses",2019-10-24T03:48:10Z,"5 anos, 10 meses",40131,39.2 MB,MSEC
Nightonke/WoWoViewPager,https://github.com/Nightonke/WoWoViewPager,2744,Java,2016-03-03T04:29:28Z,"9 anos, 6 meses",2017-04-06T14:07:25Z,"8 anos, 5 meses",55505,54.2 MB,WoWoViewPager
vector4wang/spring-boot-quick,https://github.com/vector4wang/spring-boot-quick,2708,Java,2017-03-13T12:32:30Z,"8 anos, 6 meses",2025-03-07T14:50:48Z,"6 meses, 7 dias",5399,5.3 MB,spring-boot-quick
spotify/docker-maven-plugin,https://github.com/spotify/docker-maven-plugin,2657,Java,2014-06-23T22:33:07Z,"11 anos, 2 meses",2021-09-14T14:31:28Z,"3 anos, 12 meses",803,803 KB,docker-maven-plugin
VerbalExpressions/JavaVerbalExpressions,https://github.com/VerbalExpressions/JavaVerbalExpressions,2632,Java,2013-07-25T16:15:26Z,"12 anos, 1 meses",2025-09-01T08:04:31Z,9 dias,196,196 KB,JavaVerbalExpressions
square/keywhiz,https://github.com/square/keywhiz,2623,Java,2015-03-25T13:31:39Z,"10 anos, 5 meses",2023-09-18T18:01:03Z,"1 anos, 11 meses",5957,5.8 MB,keywhiz
hierynomus/sshj,https://github.com/hierynomus/sshj,2598,Java,2010-02-27T14:34:40Z,"15 anos, 6 meses",2025-05-14T14:05:06Z,"3 meses, 29 dias",8985,8.8 MB,sshj
vladmihalcea/hypersistence-utils,https://github.com/vladmihalcea/hypersistence-utils,2569,Java,2017-09-25T05:10:02Z,"7 anos, 11 meses",2025-09-09T14:01:46Z,1 dias,2702,2.6 MB,hypersistence-utils
marytts/marytts,https://github.com/marytts/marytts,2533,Java,2011-12-20T16:44:48Z,"13 anos, 8 meses",2025-01-17T18:26:22Z,"7 meses, 26 dias",149964,146.4 MB,marytts
javaee-samples/javaee7-samples,https://github.com/javaee-samples/javaee7-samples,2514,Java,2013-08-27T18:47:51Z,"12 anos, 0 meses",2022-09-01T22:46:28Z,"3 anos, 0 meses",4333,4.2 MB,javaee7-samples
deeplearning4j/deeplearning4j-examples,https://github.com/deeplearning4j/deeplearning4j-examples,2513,Java,2015-08-24T15:17:43Z,"10 anos, 0 meses",2023-05-16T15:01:06Z,"2 anos, 3 meses",355459,347.1 MB,deeplearning4j-examples
Antabot/White-Jotter,https://github.com/Antabot/White-Jotter,2512,Java,2019-03-09T03:06:40Z,"6 anos, 6 meses",2022-12-10T12:47:56Z,"2 anos, 9 meses",228727,223.4 MB,White-Jotter
HotswapProjects/HotswapAgent,https://github.com/HotswapProjects/HotswapAgent,2503,Java,2013-11-20T16:15:13Z,"11 anos, 9 meses",2025-08-28T18:01:30Z,13 dias,5335,5.2 MB,HotswapAgent
logfellow/logstash-logback-encoder,https://github.com/logfellow/logstash-logback-encoder,2489,Java,2013-03-04T16:19:08Z,"12 anos, 6 meses",2025-07-23T00:32:50Z,"1 meses, 19 dias",3628,3.5 MB,logstash-logback-encoder
openjdk/jmh,https://github.com/openjdk/jmh,2486,Java,2019-05-15T06:47:19Z,"6 anos, 4 meses",2025-06-30T13:27:34Z,"2 meses, 12 dias",4190,4.1 MB,jmh
atomashpolskiy/bt,https://github.com/atomashpolskiy/bt,2459,Java,2016-05-15T19:56:23Z,"9 anos, 4 meses",2025-04-14T07:24:27Z,"4 meses, 29 dias",89382,87.3 MB,bt
aws/aws-sdk-java-v2,https://github.com/aws/aws-sdk-java-v2,2453,Java,2017-06-23T18:56:01Z,"8 anos, 2 meses",2025-09-10T22:53:30Z,0 dias,659912,644.4 MB,aws-sdk-java-v2
huanzi-qch/base-admin,https://github.com/huanzi-qch/base-admin,2444,Java,2019-09-17T07:46:16Z,"5 anos, 12 meses",2025-08-01T00:58:15Z,"1 meses, 10 dias",3336,3.3 MB,base-admin
zeromq/jeromq,https://github.com/zeromq/jeromq,2425,Java,2012-08-01T09:28:37Z,"13 anos, 1 meses",2025-03-02T22:46:28Z,"6 meses, 12 dias",4122,4.0 MB,jeromq
firebase/firebase-android-sdk,https://github.com/firebase/firebase-android-sdk,2425,Java,2018-08-31T20:50:43Z,"7 anos, 0 meses",2025-09-10T20:11:17Z,0 dias,51284,50.1 MB,firebase-android-sdk
openzipkin/brave,https://github.com/openzipkin/brave,2390,Java,2013-04-07T15:48:18Z,"12 anos, 5 meses",2025-06-01T13:04:11Z,"3 meses, 11 dias",32387,31.6 MB,brave
exchange-core/exchange-core,https://github.com/exchange-core/exchange-core,2306,Java,2018-08-05T18:25:16Z,"7 anos, 1 meses",2023-10-08T18:06:59Z,"1 anos, 11 meses",1612,1.6 MB,exchange-core
lamster2018/EasyProtector,https://github.com/lamster2018/EasyProtector,2279,Java,2018-05-14T13:33:42Z,"7 anos, 4 meses",2023-08-31T06:30:08Z,"2 anos, 0 meses",1050,1.0 MB,EasyProtector
sonatype/nexus-public,https://github.com/sonatype/nexus-public,2264,Java,2015-07-31T23:42:41Z,"10 anos, 1 meses",2025-09-09T17:05:13Z,1 dias,166851,162.9 MB,nexus-public
amaembo/streamex,https://github.com/amaembo/streamex,2264,Java,2015-04-10T17:02:32Z,"10 anos, 5 meses",2025-08-30T10:58:34Z,11 dias,4888,4.8 MB,streamex
ta4j/ta4j,https://github.com/ta4j/ta4j,2258,Java,2017-09-14T17:14:32Z,"7 anos, 12 meses",2025-09-04T23:26:24Z,5 dias,11428,11.2 MB,ta4j
open-telemetry/opentelemetry-java,https://github.com/open-telemetry/opentelemetry-java,2257,Java,2019-02-26T16:43:36Z,"6 anos, 6 meses",2025-09-10T17:56:31Z,0 dias,27647,27.0 MB,opentelemetry-java
bz51/SpringBoot-Dubbo-Docker-Jenkins,https://github.com/bz51/SpringBoot-Dubbo-Docker-Jenkins,2247,Java,2018-01-18T01:38:08Z,"7 anos, 7 meses",2022-11-16T03:27:54Z,"2 anos, 9 meses",457,457 KB,SpringBoot-Dubbo-Docker-Jenkins
eclipse-paho/paho.mqtt.java,https://github.com/eclipse-paho/paho.mqtt.java,2237,Java,2015-12-16T19:13:48Z,"9 anos, 9 meses",2024-08-14T05:58:05Z,"1 anos, 0 meses",6193,6.0 MB,paho.mqtt.java
hekailiang/squirrel,https://github.com/hekailiang/squirrel,2234,Java,2013-03-31T02:24:18Z,"12 anos, 5 meses",2024-06-04T09:56:25Z,"1 anos, 3 meses",3151,3.1 MB,squirrel
apache/rocketmq-spring,https://github.com/apache/rocketmq-spring,2223,Java,2018-10-15T06:07:53Z,"6 anos, 11 meses",2025-06-23T08:59:08Z,"2 meses, 19 dias",711,711 KB,rocketmq-spring
codingXiaxw/seckill,https://github.com/codingXiaxw/seckill,2183,Java,2016-11-28T13:56:39Z,"8 anos, 9 meses",2022-12-16T05:51:18Z,"2 anos, 8 meses",21544,21.0 MB,seckill
864381832/xJavaFxTool,https://github.com/864381832/xJavaFxTool,2181,Java,2017-08-27T04:38:06Z,"8 anos, 0 meses",2025-08-21T15:12:55Z,20 dias,317572,310.1 MB,xJavaFxTool
zhangkaitao/es,https://github.com/zhangkaitao/es,2160,Java,2013-01-12T12:57:51Z,"12 anos, 8 meses",2018-04-05T06:48:38Z,"7 anos, 5 meses",8753,8.5 MB,es
itext/itext-java,https://github.com/itext/itext-java,2155,Java,2016-05-03T07:45:39Z,"9 anos, 4 meses",2025-09-08T19:00:15Z,2 dias,684240,668.2 MB,itext-java
youseries/ureport,https://github.com/youseries/ureport,2134,Java,2017-06-05T07:48:31Z,"8 anos, 3 meses",2023-02-10T08:04:59Z,"2 anos, 7 meses",99439,97.1 MB,ureport
yaphone/itchat4j,https://github.com/yaphone/itchat4j,2122,Java,2017-04-05T15:04:57Z,"8 anos, 5 meses",2024-04-11T01:52:53Z,"1 anos, 5 meses",755,755 KB,itchat4j
jonashackt/spring-boot-vuejs,https://github.com/jonashackt/spring-boot-vuejs,2108,Java,2017-09-11T09:42:52Z,"8 anos, 0 meses",2025-09-08T22:35:42Z,2 dias,27404,26.8 MB,spring-boot-vuejs
JorenSix/TarsosDSP,https://github.com/JorenSix/TarsosDSP,2094,Java,2011-03-25T15:34:28Z,"14 anos, 5 meses",2025-06-13T09:35:50Z,"2 meses, 29 dias",19201,18.8 MB,TarsosDSP
dromara/x-file-storage,https://github.com/dromara/x-file-storage,2066,Java,2020-12-16T06:38:58Z,"4 anos, 8 meses",2025-06-27T08:02:43Z,"2 meses, 15 dias",2379,2.3 MB,x-file-storage
haraldk/TwelveMonkeys,https://github.com/haraldk/TwelveMonkeys,2044,Java,2009-09-03T17:44:28Z,"16 anos, 0 meses",2025-09-10T08:08:33Z,0 dias,299801,292.8 MB,TwelveMonkeys
eclipse-jdtls/eclipse.jdt.ls,https://github.com/eclipse-jdtls/eclipse.jdt.ls,2042,Java,2016-06-27T13:06:53Z,"9 anos, 2 meses",2025-09-10T19:26:12Z,0 dias,19467,19.0 MB,eclipse.jdt.ls
spring-cloud/spring-cloud-config,https://github.com/spring-cloud/spring-cloud-config,2005,Java,2014-06-13T16:59:44Z,"11 anos, 3 meses",2025-09-09T16:39:35Z,1 dias,40820,39.9 MB,spring-cloud-config
plantuml/plantuml-server,https://github.com/plantuml/plantuml-server,1997,Java,2011-01-28T22:07:53Z,"14 anos, 7 meses",2025-09-10T15:11:53Z,0 dias,12756,12.5 MB,plantuml-server
zhegexiaohuozi/SeimiCrawler,https://github.com/zhegexiaohuozi/SeimiCrawler,1992,Java,2015-11-06T16:06:36Z,"9 anos, 10 meses",2024-11-25T08:37:36Z,"9 meses, 19 dias",553,553 KB,SeimiCrawler
armcha/Space-Navigation-View,https://github.com/armcha/Space-Navigation-View,1992,Java,2016-08-10T19:07:41Z,"9 anos, 1 meses",2021-04-29T10:21:15Z,"4 anos, 4 meses",8680,8.5 MB,Space-Navigation-View
JorgeCastilloPrz/AndroidFillableLoaders,https://github.com/JorgeCastilloPrz/AndroidFillableLoaders,1989,Java,2015-08-13T13:34:29Z,"10 anos, 1 meses",2022-07-20T16:54:02Z,"3 anos, 1 meses",1521,1.5 MB,AndroidFillableLoaders
zalando/logbook,https://github.com/zalando/logbook,1969,Java,2015-09-14T15:29:12Z,"9 anos, 12 meses",2025-09-10T07:41:04Z,0 dias,6870,6.7 MB,logbook
NanowarOfSteel/HelloWorld,https://github.com/NanowarOfSteel/HelloWorld,1946,Java,2024-10-29T09:25:30Z,"10 meses, 16 dias",2025-02-08T14:39:36Z,"7 meses, 4 dias",1295,1.3 MB,HelloWorld
liaoinstan/SpringView,https://github.com/liaoinstan/SpringView,1931,Java,2016-03-28T09:07:07Z,"9 anos, 5 meses",2020-09-27T11:33:55Z,"4 anos, 11 meses",30048,29.3 MB,SpringView
linkedin/dexmaker,https://github.com/linkedin/dexmaker,1930,Java,2014-12-17T07:22:19Z,"10 anos, 9 meses",2025-08-05T07:16:38Z,"1 meses, 6 dias",5768,5.6 MB,dexmaker
spring-petclinic/spring-petclinic-microservices,https://github.com/spring-petclinic/spring-petclinic-microservices,1929,Java,2016-11-12T14:57:30Z,"8 anos, 10 meses",2025-08-31T19:15:48Z,10 dias,8020,7.8 MB,spring-petclinic-microservices
dunwu/java-tutorial,https://github.com/dunwu/java-tutorial,1925,Java,2017-11-29T06:39:45Z,"7 anos, 9 meses",2024-12-31T00:09:46Z,"8 meses, 13 dias",18074,17.7 MB,java-tutorial
alibaba/compileflow,https://github.com/alibaba/compileflow,1922,Java,2020-07-14T09:38:10Z,"5 anos, 1 meses",2025-08-02T03:01:52Z,"1 meses, 9 dias",5268,5.1 MB,compileflow
apache/servicecomb-pack,https://github.com/apache/servicecomb-pack,1920,Java,2017-07-18T08:27:38Z,"8 anos, 1 meses",2024-10-03T18:46:26Z,"11 meses, 12 dias",15517,15.2 MB,servicecomb-pack
detro/ghostdriver,https://github.com/detro/ghostdriver,1912,Java,2012-03-21T19:09:32Z,"13 anos, 5 meses",2019-02-08T16:23:10Z,"6 anos, 7 meses",7008,6.8 MB,ghostdriver
SpringCloud/spring-cloud-code,https://github.com/SpringCloud/spring-cloud-code,1900,Java,2018-03-07T11:57:24Z,"7 anos, 6 meses",2023-01-02T22:13:22Z,"2 anos, 8 meses",15497,15.1 MB,spring-cloud-code
jchambers/pushy,https://github.com/jchambers/pushy,1868,Java,2013-08-02T19:38:31Z,"12 anos, 1 meses",2025-04-14T03:08:41Z,"4 meses, 29 dias",8979,8.8 MB,pushy
in28minutes/spring-microservices,https://github.com/in28minutes/spring-microservices,1858,Java,2017-09-07T13:24:37Z,"8 anos, 0 meses",2024-03-16T19:40:02Z,"1 anos, 5 meses",93130,90.9 MB,spring-microservices
alibaba/testable-mock,https://github.com/alibaba/testable-mock,1842,Java,2020-11-10T03:06:47Z,"4 anos, 10 meses",2023-05-17T11:09:55Z,"2 anos, 3 meses",1567,1.5 MB,testable-mock
JosephZhu1983/java-common-mistakes,https://github.com/JosephZhu1983/java-common-mistakes,1835,Java,2020-02-03T09:45:58Z,"5 anos, 7 meses",2024-01-05T14:26:46Z,"1 anos, 8 meses",10334,10.1 MB,java-common-mistakes
dromara/Jpom,https://github.com/dromara/Jpom,1828,Java,2019-01-04T05:38:56Z,"6 anos, 8 meses",2025-08-20T10:00:44Z,21 dias,103514,101.1 MB,Jpom
ysc/word,https://github.com/ysc/word,1820,Java,2014-03-18T03:22:55Z,"11 anos, 5 meses",2021-03-31T09:27:08Z,"4 anos, 5 meses",518924,506.8 MB,word
Karumi/Rosie,https://github.com/Karumi/Rosie,1814,Java,2015-11-20T10:22:54Z,"9 anos, 9 meses",2019-09-17T14:29:29Z,"5 anos, 12 meses",13853,13.5 MB,Rosie
stfalcon-studio/FrescoImageViewer,https://github.com/stfalcon-studio/FrescoImageViewer,1810,Java,2016-08-29T15:05:41Z,"9 anos, 0 meses",2022-09-21T09:37:40Z,"2 anos, 11 meses",5466,5.3 MB,FrescoImageViewer
uber-common/jvm-profiler,https://github.com/uber-common/jvm-profiler,1798,Java,2018-01-05T22:19:29Z,"7 anos, 8 meses",2025-07-12T01:50:00Z,"2 meses, 0 dias",262,262 KB,jvm-profiler
baichengzhou/SpringMVC-Mybatis-Shiro-redis-0.2,https://github.com/baichengzhou/SpringMVC-Mybatis-Shiro-redis-0.2,1791,Java,2016-11-25T10:12:46Z,"8 anos, 9 meses",2022-12-16T07:20:31Z,"2 anos, 8 meses",26380,25.8 MB,SpringMVC-Mybatis-Shiro-redis-0.2
codenameone/CodenameOne,https://github.com/codenameone/CodenameOne,1788,Java,2015-03-27T07:37:42Z,"10 anos, 5 meses",2025-09-06T23:36:00Z,3 dias,226012,220.7 MB,CodenameOne
kilim/kilim,https://github.com/kilim/kilim,1786,Java,2010-04-09T12:02:18Z,"15 anos, 5 meses",2022-03-25T23:47:44Z,"3 anos, 5 meses",3261,3.2 MB,kilim
spring-cloud/spring-cloud-sleuth,https://github.com/spring-cloud/spring-cloud-sleuth,1784,Java,2015-03-06T20:51:47Z,"10 anos, 6 meses",2025-02-24T16:54:13Z,"6 meses, 18 dias",89851,87.7 MB,spring-cloud-sleuth
