date,Players,Followers,Positive reviews,Negative reviews,Release,Sentiment,PositiveReviewCount,NegativeReviewCount
2024-11-12,-952.0,29.0,-9.0,,0,0.30700000000000005,1.0,1.0
2024-11-13,-287.0,18.0,-3.0,,0,0.7168833333333334,5.0,1.0
2024-11-14,-134.0,18.0,3.0,,0,0.7162,6.0,0.0
2024-11-15,546.0,20.0,-4.0,,0,0.15568749999999998,5.0,3.0
2024-11-16,758.0,24.0,8.0,,0,0.7630500000000001,6.0,0.0
2024-11-17,268.0,20.0,-5.0,,0,0.5023285714285715,5.0,1.0
2024-11-18,-1454.0,22.0,0.0,0.0,50,0.46858333333333335,5.0,0.0
2024-11-19,-173.0,10.0,1.0,0.0,0,0.40078571428571425,4.0,2.0
2024-11-20,-237.0,27.0,4.0,0.0,0,0.7040666666666667,5.0,0.0
2024-11-21,-104.0,16.0,-1.0,,50,0.7481571428571429,6.0,0.0
2024-11-22,360.0,22.0,1.0,,0,0.7040181818181819,11.0,0.0
2024-11-23,825.0,20.0,-1.0,,0,0.65132,4.0,0.0
2024-11-24,330.0,18.0,2.0,,0,0.5350400000000001,7.0,1.0
2024-11-25,-1342.0,21.0,3.0,,0,0.1806,4.0,1.0
2024-11-26,-100.0,21.0,-9.0,,0,0.7098166666666667,5.0,0.0
2024-11-27,-41.0,18.0,35.0,,0,0.46799999999999997,21.0,4.0
2024-11-28,-103.0,16.0,9.0,,0,0.5642975,31.0,3.0
2024-11-29,597.0,23.0,21.0,,50,0.6199277777777777,16.0,2.0
2024-11-30,394.0,17.0,-30.0,,0,0.6586000000000001,20.0,0.0
2024-12-01,179.0,16.0,-2.0,,0,0.6263576923076923,22.0,1.0
2024-12-02,-1086.0,35.0,-2.0,0.0,0,0.6282105263157894,17.0,1.0
2024-12-03,-306.0,23.0,-10.0,,0,0.5310833333333334,10.0,2.0
2024-12-04,-125.0,20.0,8.0,,0,0.6772235294117648,16.0,1.0
2024-12-05,16.0,12.0,-32.0,,0,0.9050833333333334,6.0,0.0
2024-12-06,259.0,-79040.5,-1.0,,0,0.0,,
2024-12-07,715.0,11.5,4.0,,0,0.63758,4.0,0.0
2024-12-08,227.0,13.5,0.0,,0,0.6664333333333333,9.0,0.0
2024-12-09,-1133.0,10.0,7.0,,0,0.6358,3.0,0.0
2024-12-10,-154.0,18.0,-11.0,,0,0.8365,2.0,0.0
2024-12-11,-158.0,14.5,3.0,,0,0.62285,2.0,0.0
2024-12-12,-110.0,9.0,2.0,,0,0.6025666666666667,5.0,1.0
2024-12-13,247.0,8.0,-1.0,,1,0.7232000000000001,4.0,0.0
2024-12-14,819.0,10.5,-8.0,,0,0.5071500000000001,5.0,0.0
2024-12-15,203.0,15.5,8.0,,0,0.87145,6.0,0.0
2024-12-16,-1009.0,13.0,1.0,,0,0.37598,3.0,1.0
2024-12-17,-194.0,3.5,-3.0,,0,0.49015714285714285,6.0,0.0
2024-12-18,-2.0,6.0,0.0,,0,0.49638,4.0,1.0
2024-12-19,-91.0,3.0,7.0,,50,0.8413999999999999,8.0,0.0
2024-12-20,669.0,12.5,-6.0,,0,0.8475857142857143,7.0,0.0
2024-12-21,706.0,8.0,2.0,,0,0.7096333333333334,6.0,0.0
2024-12-22,224.0,16.0,3.0,,0,0.409390909090909,7.0,3.0
2024-12-23,-587.0,13.5,5.0,0.0,0,0.6855888888888889,8.0,1.0
2024-12-24,-342.0,17.0,1.0,,0,0.7155857142857143,6.0,0.0
2024-12-25,21.0,13.0,-6.0,,0,0.684025,8.0,0.0
2024-12-26,383.0,15.5,9.0,,0,0.46473,7.0,1.0
2024-12-27,220.0,14.0,-9.0,0.0,0,0.5019142857142856,10.0,2.0
2024-12-28,317.0,15.5,13.0,,0,0.4404071428571429,11.0,2.0
2024-12-29,283.0,20.5,-5.0,,0,0.3915545454545455,8.0,1.0
2024-12-30,-455.0,11.5,7.0,,50,0.63796,4.0,0.0
2024-12-31,-253.0,8.0,-18.0,,0,0.69935,8.0,0.0
2025-01-01,731.0,10.5,1.0,,0,0.6512636363636364,9.0,0.0
2025-01-02,-567.0,12.5,14.0,,0,0.60328,10.0,0.0
2025-01-03,58.0,6.0,-22.0,2.0,0,0.7580333333333332,6.0,0.0
2025-01-04,416.0,8.0,9.0,,0,0.45505,12.0,1.0
2025-01-05,86.0,13.0,12.0,,0,0.67384,5.0,0.0
2025-01-06,-1119.0,4.0,-16.0,,0,0.7636714285714286,7.0,0.0
2025-01-07,-223.0,8.0,9.0,,0,0.5330571428571428,5.0,1.0
2025-01-08,-162.0,3.5,-1.0,0.0,0,0.6448,8.0,0.0
2025-01-09,14.0,10.5,-8.0,,0,0.7036125,8.0,0.0
2025-01-10,505.0,2.5,4.0,,0,0.7825000000000001,6.0,0.0
2025-01-11,804.0,11.5,,,0,0.51156,8.0,2.0
2025-01-12,252.0,15.0,,,0,0.76718,5.0,0.0
2025-01-13,-1331.0,6.0,-21.0,,0,0.8905799999999999,10.0,0.0
2025-01-14,-237.0,8.0,-5.0,0.0,0,0.19835,6.0,2.0
2025-01-15,-137.0,11.0,3.0,-1.0,0,0.2742,4.0,2.0
2025-01-16,-101.0,6.5,-7.0,,0,0.42991428571428575,5.0,0.0
2025-01-17,461.0,7.0,5.0,,0,0.6229,5.0,0.0
2025-01-18,826.0,11.0,4.0,,0,0.7904,2.0,0.0
2025-01-19,250.0,5.5,-8.0,,0,0.642,5.0,0.0
2025-01-20,-681.0,10.0,-1.0,,0,-0.15345,1.0,1.0
2025-01-21,-622.0,4.5,3.0,,0,0.8029999999999999,6.0,0.0
2025-01-22,-101.0,6.0,1.0,,0,0.8121,8.0,0.0
2025-01-23,6.0,8.5,5.0,0.0,50,0.65615,9.0,0.0
2025-01-24,518.0,10.0,-2.0,,0,0.57095,11.0,1.0
2025-01-25,828.0,8.5,11.0,,0,0.45951666666666674,4.0,1.0
2025-01-26,419.0,3.0,-11.0,,0,0.632125,6.0,0.0
2025-01-27,-1232.0,14.0,4.0,,0,0.7370111111111111,8.0,1.0
2025-01-28,-92.0,17.5,-5.0,,0,0.4798777777777778,7.0,1.0
2025-01-29,-60.0,10.5,0.0,,0,0.8284142857142857,7.0,0.0
2025-01-30,-110.0,7.0,7.0,,0,0.5305285714285715,6.0,0.0
2025-01-31,353.0,14.0,-7.0,,0,0.6299222222222222,8.0,1.0
2025-02-01,779.0,8.5,8.0,,0,0.5720500000000001,9.0,1.0
2025-02-02,282.0,11.5,1.0,,0,0.5589666666666667,9.0,2.0
2025-02-03,-1352.0,9.5,-2.0,,0,0.5999545454545454,9.0,1.0
2025-02-04,-125.0,6.0,-6.0,,0,0.67765,7.0,1.0
2025-02-05,444.0,6.0,3.0,,100,0.49725833333333336,10.0,2.0
2025-02-06,424.0,5.5,13.0,,1,0.73784375,16.0,0.0
2025-02-07,600.0,33.0,-3.0,,150,0.15983333333333333,5.0,3.0
2025-02-08,1234.0,15.5,-9.0,,0,0.5060416666666666,9.0,1.0
2025-02-09,464.0,29.5,21.0,,0,0.5575235294117648,15.0,0.0
2025-02-10,-1592.0,53.0,-21.0,,51,0.7908454545454546,11.0,0.0
2025-02-11,-323.0,29.0,16.0,,0,0.7178249999999999,11.0,1.0
2025-02-12,-199.0,28.0,-23.0,,50,0.8442,3.0,0.0
2025-02-13,-136.0,30.5,6.0,,0,0.5507714285714286,6.0,1.0
2025-02-14,292.0,33.0,9.0,0.0,0,0.5188083333333333,10.0,1.0
2025-02-15,1277.0,30.5,-1.0,,0,0.6095388888888889,16.0,1.0
